reason,Barrier ID,Structure Type,passability_status,Watershed,Reason
No structure present,2bc64532-018c-4cc6-a9cb-e1ab3b631ea0,stream_crossing,POTENTIAL BARRIER,Wildhay ,
No structure present,5a3d69f5-9ca2-43b5-9466-192e68f21912,stream_crossing,POTENTIAL BARRIER,Wildhay ,
No structure present,882d1bc5-fcab-430c-9a01-4e5da05142cf,stream_crossing,POTENTIAL BARRIER,Wildhay ,
No structure present,b400bdd1-6f9f-4435-909d-762d1d14429a,stream_crossing,POTENTIAL BARRIER,Wildhay ,
No structure present,bc916c51-8601-4733-bcda-af618c0c5644,stream_crossing,POTENTIAL BARRIER,Wildhay ,
No structure present,d42716d9-991d-4abe-bd92-6d37970e9d74,stream_crossing,POTENTIAL BARRIER,Wildhay ,
No structure present,7b21bd9f-34ab-49ff-ad1b-8ec10446999f,stream_crossing,POTENTIAL BARRIER,Wildhay ,
No structure present,5dc8c44a-db2c-4d41-b6a5-4673ecc27740,stream_crossing,POTENTIAL BARRIER,Wildhay ,
No structure present,3e19818f-a15d-47db-86f9-fe91085b2042,stream_crossing,POTENTIAL BARRIER,Wildhay ,
No structure present,0c348096-5b9b-4750-9e49-0875dab12690,stream_crossing,POTENTIAL BARRIER,Wildhay ,
No structure present,a6bb0989-2508-4e0c-bb79-21357a465e16 ,,,Wildhay ,
bridge nov 2025,34f5fc6b-3835-4990-9cf4-31326160659a,Bridge,POTENTIAL BARRIER,Wildhay ,Passable
no habitat upstream nov 2025,9a0a4ca4-7de0-4697-ad88-ed9aae31ce9c,stream_crossing,POTENTIAL BARRIER,Wildhay ,No habitat upstream
Ford/Reclaimed,1e9e5745-b1cd-48a6-a1b1-97e6ca369ec6,,,,
Ford/Reclaimed,2bcce736-345b-42da-ad3a-e88d93aa158c,,,,
Ford/Reclaimed,58166baf-7f18-42d5-b499-3e4c7d54ab8b,,,,
Ford/Reclaimed,80b91e7b-0c80-438d-bfff-2239077a4e21,,,,
Ford/Reclaimed,d43f113b-3c31-4e1d-baa4-3121e6337698,,,,
Passable bridge,d0a36ce5-5af9-406c-a5a0-9633377424f6,,,,
Passable CBS,0f383419-8445-4ccd-8e89-cf69318cbbf1,,,,
Passable CBS,8805d38b-0bb5-47b1-b49e-31d7821dade1,,,,
Passable CBS,b42f9a4b-e69e-4970-9c60-53b114136947,,,,
Passable CBS,e93def6e-0386-4228-ba6b-e274a30a4912 ,,,,
