Name? ,Affiliation? 
Axel Anderson? ,"Waterbody Crossing Working Group, Alberta Environment and Parks? "
Ngaio Baril? ,"Foothills Stream Crossing Partnership, Foothills Research Institute? "
Angela Bowditch? ,Alberta Energy Regulator? 
Jamie Card ,Fisheries and Oceans Canada 
Terry Carlyle? ,"Northern Lights Fly Fishers, Trout Unlimited Canada?? "
Tracy Friedel  ,Lac Ste. Anne Métis  
Ty Gervais? ,Public at large / Recreation? 
Emerice Hallock ,Mountain Métis?? 
Kristina Hallock? ,Mountain Métis?? 
Daniel Hartley? ,Alberta Energy Regulator?? 
Mike Hunka? ,Alberta Energy Regulator?? 
Paul Hvenegaard? ,Alberta Conservation Association? 
Ashley Johnson? ,Athabasca Watershed Council? 
Jennifer Jung? ,Fisheries and Oceans Canada? 
Duane Kootenay ,Alexis Nakota Sioux Nation 
Sarah MacDonald? ,Athabasca Watershed Council? 
Nick Mazany-Wright ???? ,Canadian Wildlife Federation? 
Amy McLeod? ,Alberta Riparian Habitat Management Society (Cows and Fish) 
Nate Medinski? ,Aseniwuche Winewak Nation?? 
Dan Moore? ,Alberta Newsprint Company?/ Athabasca Watershed Council 
Josh Noseworthy? ,"Facilitator, Global Conservation Solutions? "
Angie Quist? ,Alberta Riparian Habitat Management Society (Cows and Fish) 
Bruce Nielson? ,Alberta Water Course Crossing Collaborative? 
Petra Rowell? ,Athabasca Watershed Council? 
Jason Shpeley? ,Fisheries and Oceans Canada? 
Megan Thompson? ,Lac Ste. Anne Métis? 
Tim Trahan ,West Fraser 
Craig Werner? ,Alberta Forest Products Association 
Barry White? ,Foothills Research Institute 
Kyle Wilson  ,Lac Ste. Anne Métis 
